file name,line count, actual content line count,number of revisions,lines per revision
git/github/madler/zlib.yaml,20,14,3,4
git/github/matroska-org/libebml.yaml,9,3,1,3
git/github/medialize/uri.js.yaml,9,3,1,3
git/github/microsoft/clearscript.yaml,9,3,1,3
git/github/microsoft/gsl.yaml,9,3,1,3
git/github/microsoft/ms-tpm-20-ref.yaml,14,8,1,8
git/github/microsoft/vscode.yaml,9,3,1,3
git/github/mikemcl/big.js.yaml,9,3,1,3
git/github/moagrius/copycss.yaml,9,3,1,3
git/github/moment/momentjs.com.yaml,9,3,1,3
git/github/mongodb/mongo-csharp-driver.yaml,9,3,1,3
git/github/mozilla/source-map.yaml,9,3,1,3
git/github/ms-iot/optee_os.yaml,9,3,1,3
git/github/ms-iot/u-boot.yaml,9,3,1,3
git/github/neuecc/linq.js.yaml,9,3,1,3
git/github/niklasvh/html2canvas.yaml,15,9,1,9
git/github/nlog/nlog.yaml,9,3,1,3
git/github/nodejs/node.yaml,39,33,7,4
git/github/node-modules/agentkeepalive.yaml,9,3,1,3
git/github/open-mpi/ompi.yaml,9,3,1,3
git/github/openni/openni.yaml,9,3,1,3
git/github/open-source-parsers/jsoncpp.yaml,9,3,1,3
git/github/openssl/openssl.yaml,12,6,2,3
git/github/owensd/vscode-swift.yaml,9,3,1,3
git/github/phax/ph-schematron.yaml,44,38,1,38
git/github/pkg/errors.yaml,9,3,1,3
git/github/polyconseil/getconf.yaml,22,16,1,16
git/github/powershell/xadcsdeployment.yaml,9,3,1,3
git/github/powershell/xwebadministration.yaml,9,3,1,3
git/github/pybind/pybind11.yaml,12,6,2,3
git/github/pytorch/pytorch.yaml,9,3,1,3
git/github/rabbitmq/hop.yaml,9,3,1,3
git/github/rails/arel.yaml,9,3,1,3
git/github/rcdmk/aspjson.yaml,15,9,2,4
git/github/reactiveui/refit.yaml,9,3,1,3
git/github/requirejs/requirejs.yaml,9,3,1,3
git/github/r-lib/progress.yaml,9,3,1,3
git/github/r-lib/rlang.yaml,9,3,1,3
git/github/rnorth/duct-tape.yaml,12,6,1,6
git/github/rnorth/visible-assertions.yaml,12,6,1,6
git/github/ropensci/tokenizers.yaml,9,3,1,3
