file name,length of longest curation,full length of curations,number of lines,revision,number of revisions
nuget/nuget/-/Microsoft.IdentityModel.Clients.ActiveDirectory.yaml,2,230,235,"3.19.2",52
nuget/nuget/-/Microsoft.IdentityModel.Clients.ActiveDirectory.yaml,2,230,235,"3.19.1",52
nuget/nuget/-/Microsoft.IdentityModel.Clients.ActiveDirectory.yaml,2,230,235,"3.19.0",52
nuget/nuget/-/Microsoft.IdentityModel.Clients.ActiveDirectory.yaml,2,230,235,"3.17.3",52
nuget/nuget/-/Microsoft.IdentityModel.Clients.ActiveDirectory.yaml,2,230,235,"3.17.2",52
nuget/nuget/-/Microsoft.IdentityModel.Clients.ActiveDirectory.yaml,2,230,235,"3.17.1",52
nuget/nuget/-/Microsoft.IdentityModel.Clients.ActiveDirectory.yaml,2,230,235,"3.17.0",52
nuget/nuget/-/Microsoft.IdentityModel.Clients.ActiveDirectory.yaml,2,230,235,"3.16.1",52
nuget/nuget/-/Microsoft.IdentityModel.Clients.ActiveDirectory.yaml,2,230,235,"3.16.0",52
nuget/nuget/-/Microsoft.IdentityModel.Clients.ActiveDirectory.yaml,2,230,235,"3.14.2",52
nuget/nuget/-/Microsoft.IdentityModel.Clients.ActiveDirectory.yaml,2,230,235,"3.14.1",52
nuget/nuget/-/Microsoft.IdentityModel.Clients.ActiveDirectory.yaml,2,230,235,"3.14.0",52
nuget/nuget/-/Microsoft.IdentityModel.Clients.ActiveDirectory.yaml,2,230,235,"2.29.0",52
nuget/nuget/-/Microsoft.IdentityModel.Clients.ActiveDirectory.yaml,2,230,235,"2.28.4",52
nuget/nuget/-/Microsoft.IdentityModel.Clients.ActiveDirectory.yaml,2,230,235,"2.28.2",52
nuget/nuget/-/Microsoft.IdentityModel.Clients.ActiveDirectory.yaml,2,230,235,"2.28.1",52
nuget/nuget/-/Microsoft.IdentityModel.Clients.ActiveDirectory.yaml,2,230,235,"2.28.0",52
nuget/nuget/-/Microsoft.IdentityModel.Clients.ActiveDirectory.yaml,2,230,235,"2.26.305102204",52
nuget/nuget/-/Microsoft.IdentityModel.Clients.ActiveDirectory.yaml,2,230,235,"2.24.304111323",52
nuget/nuget/-/Microsoft.IdentityModel.Clients.ActiveDirectory.yaml,2,230,235,"2.23.302261847",52
nuget/nuget/-/Microsoft.IdentityModel.Clients.ActiveDirectory.yaml,2,230,235,"2.22.302111727",52
nuget/nuget/-/Microsoft.IdentityModel.Clients.ActiveDirectory.yaml,2,230,235,"2.21.301221612",52
nuget/nuget/-/Microsoft.IdentityModel.Clients.ActiveDirectory.yaml,2,230,235,"2.19.208020213",52
nuget/nuget/-/Microsoft.IdentityModel.Clients.ActiveDirectory.yaml,2,230,235,"2.18.206251556",52
nuget/nuget/-/Microsoft.IdentityModel.Clients.ActiveDirectory.yaml,2,230,235,"2.16.204221202",52
nuget/nuget/-/Microsoft.IdentityModel.Clients.ActiveDirectory.yaml,2,230,235,"2.14.201151115",52
nuget/nuget/-/NLog.yaml,2,222,226,"5.0.0-beta11",72
nuget/nuget/-/NLog.yaml,2,222,226,"5.0.0-beta09",72
nuget/nuget/-/NLog.yaml,2,222,226,"5.0.0-beta07",72
nuget/nuget/-/NLog.yaml,2,222,226,"5.0.0-beta06",72
nuget/nuget/-/NLog.yaml,2,222,226,"5.0.0-beta05",72
nuget/nuget/-/NLog.yaml,2,222,226,"4.7.5",72
nuget/nuget/-/NLog.yaml,2,222,226,"4.7.4",72
nuget/nuget/-/NLog.yaml,2,222,226,"4.7.3",72
nuget/nuget/-/NLog.yaml,2,222,226,"4.7.2",72
nuget/nuget/-/NLog.yaml,2,222,226,"4.7.0",72
nuget/nuget/-/NLog.yaml,2,222,226,"4.6.8",72
nuget/nuget/-/NLog.yaml,2,222,226,"4.6.7",72
nuget/nuget/-/NLog.yaml,2,222,226,"4.6.6",72
nuget/nuget/-/NLog.yaml,2,222,226,"4.6.5",72
nuget/nuget/-/NLog.yaml,2,222,226,"4.6.4",72
nuget/nuget/-/NLog.yaml,2,222,226,"4.6.3",72
nuget/nuget/-/NLog.yaml,2,222,226,"4.6.2",72
nuget/nuget/-/NLog.yaml,2,222,226,"4.6.1",72
nuget/nuget/-/NLog.yaml,2,222,226,"4.6.0-rc1",72
nuget/nuget/-/NLog.yaml,2,222,226,"4.6.0",72
nuget/nuget/-/NLog.yaml,2,222,226,"4.5.9",72
nuget/nuget/-/NLog.yaml,2,222,226,"4.5.8",72
nuget/nuget/-/NLog.yaml,2,222,226,"4.5.6",72
nuget/nuget/-/NLog.yaml,2,222,226,"4.5.5",72
nuget/nuget/-/NLog.yaml,2,222,226,"4.5.4",72
nuget/nuget/-/NLog.yaml,2,222,226,"4.5.3",72
nuget/nuget/-/NLog.yaml,2,222,226,"4.5.2",72
nuget/nuget/-/NLog.yaml,2,222,226,"4.5.11",72
nuget/nuget/-/NLog.yaml,2,222,226,"4.5.10",72
nuget/nuget/-/NLog.yaml,2,222,226,"4.5.0-rc07",72
nuget/nuget/-/NLog.yaml,2,222,226,"4.5.0-rc06",72
nuget/nuget/-/NLog.yaml,2,222,226,"4.5.0-rc02",72
nuget/nuget/-/NLog.yaml,2,222,226,"4.5.0-beta07",72
nuget/nuget/-/NLog.yaml,2,222,226,"4.5.0",72
nuget/nuget/-/NLog.yaml,2,222,226,"4.4.9",72
nuget/nuget/-/NLog.yaml,2,222,226,"4.4.8",72
nuget/nuget/-/NLog.yaml,2,222,226,"4.4.6",72
nuget/nuget/-/NLog.yaml,2,222,226,"4.4.5",72
nuget/nuget/-/NLog.yaml,2,222,226,"4.4.4",72
nuget/nuget/-/NLog.yaml,2,222,226,"4.4.3",72
nuget/nuget/-/NLog.yaml,2,222,226,"4.4.2",72
nuget/nuget/-/NLog.yaml,2,222,226,"4.4.13",72
nuget/nuget/-/NLog.yaml,2,222,226,"4.4.12",72
nuget/nuget/-/NLog.yaml,2,222,226,"4.4.11",72
nuget/nuget/-/NLog.yaml,2,222,226,"4.4.10",72
nuget/nuget/-/NLog.yaml,2,222,226,"4.4.0",72
nuget/nuget/-/NLog.yaml,2,222,226,"4.3.9",72
nuget/nuget/-/NLog.yaml,2,222,226,"4.3.8",72
nuget/nuget/-/NLog.yaml,2,222,226,"4.3.7",72
nuget/nuget/-/NLog.yaml,2,222,226,"4.3.6",72
nuget/nuget/-/NLog.yaml,2,222,226,"4.3.5",72
nuget/nuget/-/NLog.yaml,2,222,226,"4.3.4",72
nuget/nuget/-/NLog.yaml,2,222,226,"4.3.3",72
nuget/nuget/-/NLog.yaml,2,222,226,"4.3.2",72
nuget/nuget/-/NLog.yaml,2,222,226,"4.3.11",72
nuget/nuget/-/NLog.yaml,2,222,226,"4.3.10",72
nuget/nuget/-/NLog.yaml,2,222,226,"4.2.3",72
nuget/nuget/-/NLog.yaml,2,222,226,"4.2.2",72
nuget/nuget/-/NLog.yaml,2,222,226,"4.2.1",72
nuget/nuget/-/NLog.yaml,2,222,226,"4.2.0",72
nuget/nuget/-/NLog.yaml,2,222,226,"4.1.2",72
nuget/nuget/-/NLog.yaml,2,222,226,"4.1.1",72
nuget/nuget/-/NLog.yaml,2,222,226,"4.0.1",72
nuget/nuget/-/NLog.yaml,2,222,226,"4.0.0",72
nuget/nuget/-/NLog.yaml,2,222,226,"3.2.1",72
nuget/nuget/-/NLog.yaml,2,222,226,"3.2.0",72
nuget/nuget/-/NLog.yaml,2,222,226,"3.1.0",72
nuget/nuget/-/NLog.yaml,2,222,226,"3.0.0",72
nuget/nuget/-/NLog.yaml,2,222,226,"2.1.0",72
nuget/nuget/-/NLog.yaml,2,222,226,"2.0.1.2",72
nuget/nuget/-/NLog.yaml,2,222,226,"2.0.0.2000",72
nuget/nuget/-/HtmlAgilityPack.yaml,2,177,182,"1.9.2",59
nuget/nuget/-/HtmlAgilityPack.yaml,2,177,182,"1.9.1",59
nuget/nuget/-/HtmlAgilityPack.yaml,2,177,182,"1.9.0",59
nuget/nuget/-/HtmlAgilityPack.yaml,2,177,182,"1.8.9",59
nuget/nuget/-/HtmlAgilityPack.yaml,2,177,182,"1.8.8",59
